 Sonnet Data File
 From: sonnet Version : 17.56
 From Emgraph Data: 
 Data File Written: 10/28/2021 11:22:07
File Marker Date: 10/27/2021 16:23:57
PPC_Dim_will_be_squared = 51.0
read_gap = 8.0
read_line = 20.0
read_gap2 = 7.5
O_coupler = 12.0
Box_w = 250.0
R 50.00000
Frequency (GHz),DB[S11],ANG[S11],DB[S12],ANG[S12],DB[S21],ANG[S21],DB[S22],ANG[S22]
5.431556000000000,-0.309315915954,-169.6089502888,-11.62764490421,-79.26720200963,-11.62764490421,-79.26720200963,-0.309315915534,-168.9257562359
5.431556100000001,-0.307803033855,-169.6457279082,-11.64819151817,-79.30397913417,-11.64819151817,-79.30397913417,-0.307803033434,-168.9625334794
5.431556200000000,-0.306293454652,-169.6825186743,-11.66879781081,-79.34076940228,-11.66879781081,-79.34076940228,-0.306293454231,-168.9993238696
5.431556300000000,-0.304787181895,-169.7193225630,-11.68946407381,-79.37757279523,-11.68946407381,-79.37757279523,-0.304787181474,-169.0361273825
5.431556400000001,-0.303284219246,-169.7561395516,-11.71019060174,-79.41438929138,-11.71019060174,-79.41438929138,-0.303284218825,-169.0729439952
5.431556500000000,-0.301784570849,-169.7929696165,-11.73097769117,-79.45121885710,-11.73097769117,-79.45121885710,-0.301784570427,-169.1097736842
5.431556600000000,-0.300288240427,-169.8298127348,-11.75182564112,-79.48806146883,-11.75182564112,-79.48806146883,-0.300288240005,-169.1466164266
5.431556700000001,-0.298795231185,-169.8666688818,-11.77273475211,-79.52491711563,-11.77273475211,-79.52491711563,-0.298795230763,-169.1834721978
5.431556800000000,-0.297305547079,-169.9035380346,-11.79370532786,-79.56178576789,-11.79370532786,-79.56178576789,-0.297305546657,-169.2203409748
5.431556900000000,-0.295819192220,-169.9404201700,-11.81473767433,-79.59866739197,-11.81473767433,-79.59866739197,-0.295819191798,-169.2572227342
5.431557000000001,-0.294336169486,-169.9773152630,-11.83583209892,-79.63556198460,-11.83583209892,-79.63556198460,-0.294336169063,-169.2941174513
5.431557100000000,-0.292856483411,-170.0142232911,-11.85698891281,-79.67246950117,-11.85698891281,-79.67246950117,-0.292856482988,-169.3310251035
5.431557200000000,-0.291380137092,-170.0511442294,-11.87820842828,-79.70938993266,-11.87820842828,-79.70938993266,-0.291380136669,-169.3679456660
5.431557300000001,-0.289907134273,-170.0880780544,-11.89949096075,-79.74632325380,-11.89949096075,-79.74632325380,-0.289907133850,-169.4048791151
5.431557400000000,-0.288437479416,-170.1250247431,-11.92083682857,-79.78326942104,-11.92083682857,-79.78326942104,-0.288437478992,-169.4418254279
5.431557500000000,-0.286971175132,-170.1619842701,-11.94224635113,-79.82022843711,-11.94224635113,-79.82022843711,-0.286971174708,-169.4787845790
5.431557600000001,-0.285508225691,-170.1989566118,-11.96371985150,-79.85720026290,-11.96371985150,-79.85720026290,-0.285508225267,-169.5157565448
5.431557700000000,-0.284048634557,-170.2359417442,-11.98525765495,-79.89418487939,-11.98525765495,-79.89418487939,-0.284048634133,-169.5527413012
5.431557800000000,-0.282592405401,-170.2729396428,-12.00686008917,-79.93118226213,-12.00686008917,-79.93118226213,-0.282592404977,-169.5897388239
5.431557900000000,-0.281139542029,-170.3099502839,-12.02852748485,-79.96819238307,-12.02852748485,-79.96819238307,-0.281139541604,-169.6267490891
5.431558000000001,-0.279690047990,-170.3469736426,-12.05026017478,-80.00521522046,-12.05026017478,-80.00521522046,-0.279690047565,-169.6637720719
5.431558100000000,-0.278243927027,-170.3840096948,-12.07205849467,-80.04225074743,-12.07205849467,-80.04225074743,-0.278243926602,-169.7008077482
5.431558200000000,-0.276801182547,-170.4210584160,-12.09392278287,-80.07929894552,-12.09392278287,-80.07929894552,-0.276801182122,-169.7378560935
5.431558300000001,-0.275361818290,-170.4581197817,-12.11585338036,-80.11635978759,-12.11585338036,-80.11635978759,-0.275361817865,-169.7749170831
